name,age,height (cm),"wight (kg), rank"
Mallory O'Brien,18,160.02,61.23496995,1
Tia-Clair Toomey,28,163.0,58.0,2
Haley Adams,21,170.18,63.502931800000006,3
Laurie Clément,35,159.0,60.0,4
Brooke Wells,27,167.64000000000001,68.0388555,5
Emma McQuaid,32,165.0,65.0,6
Alexis Raptis,23,165.1,62.59574706,7
Ellie Turner,24,167.0,,8
Andrea Solberg,26,164.0,61.23496995,9
Jamie Simmonds,31,163.0,61.23496995,10
Matilde Garnes,26,174.0,68.0,11
Kristi Eramo O'Connell,33,157.48,59.874192840000006,12
Gabriela Migała,23,170.0,75.0,13
Dani Speegle,28,167.64000000000001,76.20351816,14
Addison DesRosiers,29,162.56,66.67807839000001,15
Anikha Greer,19,154.0,,16
Arielle Loewen,28,160.02,63.502931800000006,17
Kristine Best,32,160.02,62.59574706,18
Annie Thorisdottir,32,170.0,68.94604024,19
Seher Kaya,24,,,20
Amanda Barnhart,30,170.18,72.57477920000001,21
Leah Støren,18,159.0,53.0,22
Giulia Roggio,42,163.0,58.0,23
Katelin Van Zyl,30,171.0,68.0,24
Chloe Gauvin-David,30,170.18,66.22448602,25
Grace Strachan,21,154.94,61.23496995,26
Sara Alicia Fernandez Costas,32,159.0,63.0,27
Emma Tall,30,168.0,68.0,28
Valentina Magalotti,32,156.0,60.0,29
Brittany Weiss,27,170.18,62.59574706,30
Andrea Nisler,33,167.64000000000001,69.85322498000001,31
Aimee Cringle,23,167.0,66.0,32
Kristin Holte,36,162.0,59.0,33
Carolyne Prevost,32,160.02,65.77089365,34
Maria Längfors,26,165.0,69.0,35
Emelie Lundberg,32,162.0,68.0,36
Faith Ferguson,21,160.02,68.0388555,37
Lucy Campbell,26,168.0,74.0,38
Svetlana Veselova,34,161.0,63.0,39
Julia Blazejowska,21,160.0,62.0,40
Emily Rolfe,33,170.0,68.94604024,41
Karin Freyová,27,170.0,72.0,42
Kara Saunders,32,162.0,71.66759446,43
Marisa Flowers,31,147.32,48.98797596,44
Elena Carratala Sanahuja,28,,,45
Thuridur Erla Helgadottir,30,164.0,59.0,46
Nicole Gibson-Burke,29,160.02,56.69904625,47
Ragnheiður Sara Sigmundsdottir,29,173.0,69.0,48
Sydney Michalyshen,22,168.0,69.39963261,49
Feeroozeh Saghafi,27,157.48,61.23496995,50
Caroline Conners,29,154.94,60.32778521,51
Shelby Neal,22,157.48,63.502931800000006,52
Jenn Ryan,42,157.48,58.513415730000006,53
Mirjam von Rohr,20,,,54
Baylee Rayl,26,,,55
Danielle Brandon,26,170.0,68.0388555,56
Silvia Garcia Izquierdo,28,165.0,61.0,57
Paige Semenza,30,160.02,64.86370891,58
Hanna Karlsson,29,177.0,81.0,59
Rebecca Fuselier,22,157.48,56.69904625,60
Melina Rodriguez,26,156.0,62.59574706,61
Valentina Rangel,25,163.0,63.0,62
Lena Richter,27,163.0,66.0,63
Victoria Campos,29,161.0,60.781377580000004,64
Karisa Stapp,25,170.18,72.57477920000001,65
Caileigh McDade,33,160.02,61.23496995,66
Brooke Haas,33,160.02,69.85322498000001,67
Lindsey Lane,26,,,68
Olivia Kerstetter,16,165.1,,69
Kelly Baker,30,162.56,68.0388555,70
Madeline Helms,25,160.02,61.23496995,71
Ashleigh Wosny,24,170.18,66.67807839000001,72
Ralitza Koterlitzova,33,160.02,63.502931800000006,73
Georgia Davenport,25,171.0,70.0,74
Helena Collins,33,171.0,69.0,75
Sydney Wells,27,167.64000000000001,,76
Ahnna Knepper,30,160.02,60.781377580000004,77
Christee Bishop,31,158.0,60.0,78
Ella Wilkinson,22,,,79
Jessica Androsik,24,,,80
Bianca Savarese,28,152.4,48.08079122,81
Lee Keyrouz,34,,,82
Hannah Hardy,25,162.56,70.30681735,83
Zoe Warren,23,154.94,54.4310844,84
Amy Morton,34,163.0,69.85322498000001,85
Trista Smith,16,154.94,,86
Jacqueline Dahlstrøm,30,167.0,67.0,87
Tracy Johnson,23,162.56,61.23496995,88
Sasha Nievas,24,156.0,61.0,89
Samantha Briggs,40,170.0,61.23496995,90
Mariska Smit,29,168.0,64.0,91
Hope Cicero,39,154.94,61.23496995,92
Carolina Serravalle,36,,,93
Freya Moosbrugger,20,165.0,68.0,94
Lilly Rodriguez,19,147.32,58.05982336,95
Sapphire Goddard,25,165.0,66.0,96
Ella Wunger,24,170.0,65.0,97
Devyn Kim,20,165.1,63.502931800000006,98
Zoe Jones,25,172.72,70.30681735,99
Callista Lang,21,162.56,61.23496995,100
Adison Balderston,23,154.94,61.23496995,101
Emma Lawson,17,,,102
Laura Horvath,25,170.0,70.0,103
Madeleine Harris,29,165.1,64.0,104
Taylor Streid,31,165.1,63.502931800000006,105
Ellie Tarence Hiller,24,154.94,60.32778521,106
Bethany Shadburne,28,162.56,65.31730128000001,107
Kacey Wells,26,152.4,60.32778521,108
Nicole Heer,30,167.0,63.0,109
Mary Helen Saunders,30,162.56,64.41011654,110
Madeline Sturt,25,158.0,63.0,111
Nienke van Overveld,28,160.0,64.0,112
Tayla Howe,25,165.0,75.0,113
CeCe Pieper,30,,,114
Jennifer Brasseur,30,158.0,58.0,115
Carleen Mathews,38,157.48,62.142154690000005,116
Oihana Moya,26,165.0,62.0,117
Ashleigh Corby,32,,,118
Elisa Fuliano,26,,,119
Martyna Krysiak,32,163.0,60.0,120
Becca Merritt,25,152.4,63.502931800000006,121
Laura Gonzalez-Marin,28,170.18,67.13167076,122
Breona Wallin,31,154.94,56.69904625,123
Metty Greneron,24,,,124
Danielle Oliveri,28,157.48,65.77089365,125
Sheena Hammer,38,154.94,53.523899660000005,126
Katrina DiGiacomo,24,154.94,60.32778521,127
Amanda Lindeberg Mathiasen,32,166.0,59.874192840000006,128
Alexis Johnson,31,157.48,63.502931800000006,129
Jessica Coughlan,33,166.0,65.77089365,130
Sarah Hobbs,29,165.1,61.23496995,131
Cody Veteto,29,,,132
Julia Kato,22,159.0,,133
Madie Edwards,28,167.64000000000001,70.30681735,134
Maria Camila Quintero,26,155.0,58.0,135
Lindsey Kirschman,34,,,136
Chiara Salandra,25,165.0,61.0,137
Katrin Tanja Davidsdottir,29,169.0,68.0388555,138
Alaina Savage,29,,,139
Emma Ferreira,27,172.72,77.1107029,140
Inga Loftesnes,22,,,141
Caroline Stanley,22,,,142
Emilia Leppänen,35,165.0,68.0388555,143
Hayley Hunter,26,160.02,56.69904625,144
Lauren Lovick,30,156.0,57.0,145
Amanda Fusuma,25,153.0,55.0,146
Kelcy Ware,33,162.56,65.77089365,147
Vaar Thurmann-Moe,23,168.0,70.0,148
Sarah Harrison,27,,,149
Rebecka Vitesson,28,173.0,65.0,150
Veera Koskelainen,31,165.0,57.0,151
Freja Duelund Gravsen,24,,,152
Emma Gardner,19,,62.59574706,153
Mikaela Norman,29,179.0,68.0,154
Bailey Rogers,31,170.0,74.0,155
Heather Hosmer,37,162.56,56.24545388,156
Leah Irons,30,162.56,63.502931800000006,157
Claire Truax,18,167.64000000000001,68.0388555,158
Stevie Dellinger,32,162.56,68.0388555,159
Seungyeon Choi,23,168.0,67.58526313,160
Emily Rethwill,29,165.1,61.68856232,161
Ana Martinez,28,2.0,57.0,162
Zoe Ziegler,28,154.94,54.4310844,163
Erica Folo,21,157.48,59.874192840000006,164
Kyra Milligan,25,,61.23496995,165
Jevon Thompson,34,157.48,57.60623099,166
Aimee Tawhai,30,163.0,66.0,167
Yuko Sakuyama,35,152.0,54.4310844,168
Emily Claw,25,,,169
Winter Nicolette Rodriguez,27,165.1,70.30681735,170
Olivia Sulek,18,165.1,65.77089365,171
Isabel Simonis,24,175.26,70.0,172
Danielle Dunlap,32,162.56,61.68856232,173
Solveig Sigurdardottir,27,170.0,68.0388555,174
Christina Agerbeck,31,161.0,60.0,175
Marina Coutinho,26,,28.576319310000002,176
Brittany Bolella,33,157.48,58.9670081,177
Claudia Reque,27,152.4,58.9670081,178
Justine Firly,28,164.0,64.0,179
Karla Bazan,36,,,180
Manon Lesur,31,163.0,65.77089365,181
Kloie Wilson,24,170.18,70.30681735,182
Sami Scorzelli,33,165.1,68.0388555,183
Grace Walton,21,164.0,70.0,184
Anne Haisch,23,177.0,,185
Matilda Siikavuopio,31,,,186
Kaela Stephano,21,154.94,52.61671492,187
Shaylin Laure,29,165.1,68.0388555,188
Madeleine Persson,30,164.0,69.0,189
Samantha Garihan,28,162.56,63.502931800000006,190
Sarah Stejskal,30,170.18,70.30681735,191
Hilary Steele,32,147.32,54.4310844,192
Alex Willis,20,167.64000000000001,68.0388555,193
Jade Williams,31,,,194
Chloe Carano,21,157.48,61.23496995,195
Dawon Jung,27,170.0,65.0,196
Victoria Robertson,26,,,197
Nicole Soto,35,,62.59574706,198
Caroline Dardini,30,154.94,56.24545388,199
