name,age,height (cm),"wight (kg), rank, year"
Kristan Clever,30,,,1,2012
Julie Foucher,23,,,2,2012
Annie Thorisdottir,22,,,3,2012
Emily Bridgers,25,,,4,2012
Camille Leblanc-Bazinet,23,,,5,2012
Andrea Ager,24,,,6,2012
Michele Letendre,26,,,7,2012
Ashley Carriveau,28,,,8,2012
Cameron Williams,28,,,9,2012
Elyse Umeda,27,,,10,2012
Madelyn Curley,30,,,11,2012
Michelle Crawford,35,,,12,2012
Deborah Cordner Carson,32,,,13,2012
Angie Pye,36,,,14,2012
Christy Phillips,27,,,15,2012
Kelley Jackson,28,,,16,2012
Talayna Fortunato,31,,,17,2012
Rebecca Voigt,31,,,18,2012
Emily Friedman,28,,,19,2012
Cheryl Nasso,27,,,20,2012
Katrin Tanja Davidsdottir,19,,,21,2012
Jenn Jones,27,,,22,2012
Jenny Davis,29,,,23,2012
Colleen Maher,17,,,24,2012
Kelly Steadman,29,,,25,2012
Amy Dracup,31,,,26,2012
Laurie Galassi,31,,,27,2012
Jessica Coughlan,23,,,28,2012
Kaleena Ladeairous,26,,,29,2012
Lindsey Valenzuela,25,,,30,2012
Whitney Heuser,21,,,31,2012
Lindsey Smith,29,,,32,2012
Ashleigh Moe,28,,,33,2012
Janet Black,38,,,34,2012
Jennifer Butler,31,,,35,2012
Natalie McLain,26,,,36,2012
Lindsay Bourdon,26,,,37,2012
Tiffany Hendrickson,31,,,38,2012
Gretchen Kittelberger,26,,,39,2012
Alicia Connors,23,,,40,2012
Sarabeth Phillips,25,,,41,2012
Britney Holmberg,25,,,42,2012
Lauren Brooks,25,,,43,2012
Becky Conzelman,40,,,44,2012
Azadeh Boroumand,26,,,45,2012
Ruth Anderson Horrell,28,,,46,2012
Allison Truscheit,26,,,47,2012
Melissa Jamerino,27,,,48,2012
Amanda Allen,41,,,49,2012
Ginny King,29,,,50,2012
Megan John,33,,,51,2012
Jenny LaBaw,30,,,52,2012
Valerie Voboril,33,,,53,2012
Candice Ruiz,27,,,54,2012
Shelly Sourdis,26,,,55,2012
Amanda Schwartz,32,,,56,2012
Larissa Costa,33,,,57,2012
Brista Mayfield,24,,,58,2012
Lauren Plumey,30,,,59,2012
Tracy Shuford,41,,,60,2012
rachel martinez,28,,,61,2012
Chelsea Miller,26,,,62,2012
Michelle Kinney,28,,,63,2012
Stacie Tovar,27,,,64,2012
Melissa Dixon,29,,,65,2012
Kendall Burnham,37,,,66,2012
Emma Keen,26,,,67,2012
Alicia Gomes,33,,,68,2012
Stacey Magnesio,29,,,69,2012
Linsey Kokal,30,,,70,2012
Kylee Claxton,26,,,71,2012
Annie Sakamoto,36,,,72,2012
Thuridur Erla Helgadottir,20,,,73,2012
Hjördís Óskarsdóttir,28,,,74,2012
Emily Pale,23,,,75,2012
Krista Owens,32,,,76,2012
Emmalee Moore,26,,,77,2012
Kara Gordon,22,,,78,2012
Sarah Pierce,24,,,79,2012
Valerie Calhoun,17,,,80,2012
Jessica Core,27,,,81,2012
Jennie McKernan,33,,,82,2012
Tosha Jeffries,33,,,83,2012
Jaime Noyce,29,,,84,2012
Anne Austad,25,,,85,2012
Kelley Hennigan,24,,,86,2012
Keysha Benzing,30,,,87,2012
Amy Bright,33,,,88,2012
Cheryl Brost,41,,,89,2012
Alexandra Bergeron,24,,,90,2012
Paige Millspaugh,34,,,91,2012
Whitney Welsch,31,,,92,2012
Elisabeth Akinwale,33,,,93,2012
Megan Norris,30,,,94,2012
Martina Barbaro,26,,,95,2012
Jessica Stephen,31,,,96,2012
Jasmine Dever,27,,,97,2012
Rebecca Eastwell,32,,,98,2012
Courtney Butowicz,29,,,99,2012
Christina Merlo,28,,,100,2012
Amanda DeRosa,30,,,101,2012
Erin Riddell Carter,35,,,102,2012
Jennifer Hunter,38,,,103,2012
Jaime Gold,26,,,104,2012
Stacey Kroon,29,,,105,2012
Adrienne Briggs,28,,,106,2012
Jackie Perez,28,,,107,2012
Alicia Staton,26,,,108,2012
Denae Brown,32,,,109,2012
Marissa Luchau,23,,,110,2012
Chyna Cho,25,,,111,2012
JoEllyn McAtee,26,,,112,2012
Renee Martin,28,,,113,2012
Julie Adams,28,,,114,2012
Lisa Ryan,30,,,115,2012
Leah Polaski,32,,,116,2012
Penny Kemp,27,,,117,2012
